feature,missing,missing_pct,distinct,mean,std,min,median,max,corr_with_target
age,0,0.0,50,53.51,9.42,28.0,54.0,77.0,0.283
sex,0,0.0,2,0.79,0.41,0.0,1.0,1.0,0.307
cp,0,0.0,4,3.25,0.93,1.0,4.0,4.0,0.472
trestbps,59,6.4,61,132.13,19.07,0.0,130.0,200.0,0.106
chol,30,3.3,217,199.13,110.78,0.0,223.0,603.0,-0.231
fbs,90,9.8,2,0.17,0.37,0.0,0.0,1.0,0.143
restecg,2,0.2,3,0.6,0.81,0.0,0.0,2.0,0.064
thalach,55,6.0,119,137.55,25.93,60.0,140.0,202.0,-0.395
exang,55,6.0,2,0.39,0.49,0.0,0.0,1.0,0.464
oldpeak,62,6.7,53,0.88,1.09,-2.6,0.5,6.2,0.386
slope,309,33.6,3,1.77,0.62,1.0,2.0,3.0,0.337
ca,611,66.4,4,0.68,0.94,0.0,0.0,3.0,0.456
thal,486,52.8,3,5.09,1.92,3.0,6.0,7.0,0.499
