column,type,distinct,missing,missing_pct,impossible,unexpected
age,continuous,50,0,0.0,,
sex,binary,2,0,0.0,,
cp,categorical,4,0,0.0,,
trestbps,continuous,61,59,6.41304347826087,1  (value 0),
chol,continuous,217,30,3.260869565217391,172  (value 0),
fbs,binary,2,90,9.782608695652174,,
restecg,categorical,3,2,0.21739130434782608,,
thalach,continuous,119,55,5.978260869565218,,
exang,binary,2,55,5.978260869565218,,
oldpeak,continuous,53,62,6.739130434782608,,
slope,ordinal,3,309,33.58695652173913,,
ca,ordinal,4,611,66.41304347826087,,
thal,categorical,3,486,52.826086956521735,,
